input_index,input_context,input_file_key,input_first_author,worker_id_w1,work_time_in_seconds_w1,label_w1,worker_id_w2,work_time_in_seconds_w2,label_w2,worker_id_w3,work_time_in_seconds_w3,label_w3,batch,majority_vote,majority_agreement,lemos_label,temp_label_3/3
1,"The source codes of 6 papers were not executable [30, 33, 34, 36, 38, 39].",RS_141_ICDAR_2018_08,First Author: Khan,A18LFH7XW61JO9,8,Neutral,A2HM35CWB7IIFM,4,Negative,A1FVXS8IM5QYO8,6,Negative,batch_26,Negative,2,Negative,OK
1,justified the straight-through-estimator (STE) method used for training the BNNs through bayesian learning [22].,RS_098_MLRC_2020_05,First Author: Meng,A3NAHN61XJ3ZAT,8,Neutral,A2HM35CWB7IIFM,4,Positive,A1G94QON7A9K0N,13,Neutral,batch_11,Neutral,2,Neutral,OK
2,"We selected SADNet [25], which represents a small network based on the UNet improvement, and Restormer, with a more complex network and better fitting abilities, as the night defogging network.",RS_105_MLRC_2020_12,First Author: Chang,A2R2YZTSME1K3F,80,Positive,A3NAHN61XJ3ZAT,8,Neutral,A2HM35CWB7IIFM,5,Positive,batch_16,Positive,2,Positive,OK
3,Chefer et al. [2021] improved the visualization quality of attention-rollout and enabled generating class specific activation map with relevance information but it requires gradient information so it cannot be used for supporting explainability in inference time.,RS_049_MLRC_2021_04,First Author: Chefer,A18LFH7XW61JO9,18,Neutral,A1G94QON7A9K0N,23,Negative,A3NAHN61XJ3ZAT,11,Negative,batch_7,Negative,2,Negative,OK
3,This is achieved in our works using a binary neural network [14].,RS_119_NeurIPS_2019_02,First Author: Helwegen,A18LFH7XW61JO9,13,Neutral,A3NAHN61XJ3ZAT,6,Neutral,A2HM35CWB7IIFM,4,Positive,batch_18,Neutral,2,Neutral,OK
3,"a-b, Multiple methods (the proposed likelihood ratio ranking, integrated gradients [26; 27], and Hotspot [28]) were applied to rank the genes in our simulated dataset by how strongly they were captured by multiGroupVIs group-specific latent spaces.",RS_004_MLRC_2022_04,First Author: Crabbe,A37WXDYYT7RCZ0,8,Neutral,AKSJ3C5O3V9RB,4494,Positive,A5V3ZMQI0PU3F,32,Positive,batch_1,Positive,2,Positive,OK
4,"Even though there are many techniques to achieve such functionality, LSTM has been shown to achieve exceptional success due to its capability of learning both short and long term dependencies of the problem and also designed to deal with vanishing gradient problem which most of the RNN architectures suffer from [28].",RS_133_ICLR_2019_05,First Author: Arpit,A2R2YZTSME1K3F,100,Neutral,A2HM35CWB7IIFM,4,Positive,A2QD9PJUKW7PKK,61,Neutral,batch_25,Neutral,2,Neutral,OK
6,"The source codes of 6 papers were not executable [30, 33, 34, 36, 38, 39].",RS_142_ICDAR_2018_09,First Author: Raja,A18LFH7XW61JO9,28,Neutral,A2HM35CWB7IIFM,3,Negative,A1G94QON7A9K0N,9,Negative,batch_26,Negative,2,Negative,OK
7,"Following the methodology described in [5], we employ the OSNet architecture as the backbone for our experiments.",RS_002_MLRC_2022_02,First Author: Zhang,A18LFH7XW61JO9,116,Positive,A2R2YZTSME1K3F,33,Positive,A1NF6PELRKACS9,13,Positive,batch_1,Positive,3,Positive,OK
8,"Discussions around AI equity have focused on the issues arising from uncertainty [9], such as: how AI systems arrive at determi-",RS_078_MLRC_2021_33,First Author: Lee,A3NAHN61XJ3ZAT,10,Neutral,A18LFH7XW61JO9,11,Neutral,A1G94QON7A9K0N,231,Neutral,batch_10,Neutral,3,Neutral,OK
